Sample,Name,Kingdom,Phylum,Class,Order,Family,Genus,Relative Abundance (%)
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,0.0104
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,AB185516_g,0.09369999999999999
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,AB606290_g,0.0208
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,AM500849_g,0.1041
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,AY854304_g,0.0104
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,AY858455_g,0.0208
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetitomaculum,0.0104
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Agathobacter,0.0885
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerobutyricum,0.0156
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,0.5676
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio_g1,0.0469
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Catonella,0.0365
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,EU137610_g,0.0104
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,EU471654_g,6.2695
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,EU771786_g,0.0208
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,EU842178_g,0.1614
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,EU844487_g,0.07289999999999999
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,0.0417
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eubacterium_g17,0.0677
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eubacterium_g24,0.2031
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,FMWZ_g,0.5728
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,GU302778_g,0.9581999999999999
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,GU303869_g,0.078
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,GU324393_g,0.0104
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,0.057300000000000004
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Marvinbryantia,0.0312
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Murimonas,0.0104
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,PAC001118_g,0.0104
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,PAC001228_g,0.0156
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,PAC001270_g,0.0104
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,PAC001398_g,0.0417
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,PAC001480_g,0.0521
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,PAC002715_g,2.3745000000000003
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Pseudobutyrivibrio,0.0833
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,0.43220000000000003
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Syntrophococcus,0.0677
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,3.3117
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Mogibacterium_f,AY134903_g,0.0208
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Mogibacterium_f,EF436322_g,0.1301
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Mogibacterium_f,GU174072_g,0.19269999999999998
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Mogibacterium_f,Mogibacterium,0.0625
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Mogibacterium_f,PAC001236_g,0.1927
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Mogibacterium_f,PAC001460_g,0.18230000000000002
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Mogibacterium_f,PAC001609_g,0.1666
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,EU381487_g,0.0104
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,EU779465_g,0.0208
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Eubacterium_g23,0.9476
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Eubacterium_g8,0.1718
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Evtepia,0.0365
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,HM124015_g,0.0365
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,0.5155
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,PAC000661_g,2.7750999999999997
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,PAC000672_g,0.1666
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,PAC000748_g,0.43729999999999997
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,PAC001144_g,0.0312
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,PAC001313_g,0.125
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,PAC002186_g,0.0833
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,PAC002203_g,0.0156
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,PAC002737_g,0.0104
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,PAC002774_g,0.0781
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Pseudoflavonifractor,0.21339999999999998
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Ruminococcus,0.578
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Ruminococcus_g2,0.0104
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Sporobacter,4.2699
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Subdoligranulum,0.0208
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Unassigned,0.0886
Sample N6,Sample N6,Bacteria,Firmicutes,Clostridia,Clostridiales,PAC002749_f,PAC002749_g,0.0469
Sample N6,Sample N6,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Coprobacillus,0.0312
Sample N6,Sample N6,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,DQ353929_g,1.4216
Sample N6,Sample N6,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,EU471751_g,0.0937
Sample N6,Sample N6,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,EU771685_g,0.0365
Sample N6,Sample N6,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,EU842803_g,0.2707
Sample N6,Sample N6,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Faecalibacillus,0.0312
Sample N6,Sample N6,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,GQ871718_g,0.0208
Sample N6,Sample N6,Bacteria,Firmicutes,Negativicutes,Acidaminococcales,Acidaminococcaceae,Phascolarctobacterium,1.8434
Sample N6,Sample N6,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Anaerovibrio,0.6040000000000001
Sample N6,Sample N6,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,PAC002871_g,0.0208
Sample N6,Sample N6,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Unassigned,0.0469
Sample N6,Sample N6,Bacteria,Lentisphaerae,Oligosphaeria,Oligosphaerales,Oligosphaeraceae,DQ353908_g,0.0104
Sample N6,Sample N6,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalobacter,0.0365
Sample N6,Sample N6,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Sutterellaceae,Parasutterella,0.0104
Sample N6,Sample N6,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,0.0156
Sample N6,Sample N6,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Ruminobacter,0.0156
Sample N6,Sample N6,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Treponema,2.01
Sample N6,Sample N6,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Cloacibacillus,0.1093
Sample N6,Sample N6,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,EU382030_g,0.0208
Sample N6,Sample N6,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,EU471549_g,0.42179999999999995
Sample N6,Sample N6,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,U81658_g,1.1352
Sample N6,Sample N6,Bacteria,Tenericutes,Mollicutes,Mycoplasmatales,Mycoplasmataceae_f1,EU471695_g,0.0208
Sample N6,Sample N6,Bacteria,Tenericutes,Mollicutes,PAC001057_o,PAC000197_f,PAC000197_g,0.2552
Sample N6,Sample N6,Bacteria,Tenericutes,Mollicutes,PAC001057_o,PAC000197_f,PAC001323_g,0.0834
Sample N6,Sample N6,Bacteria,Tenericutes,Mollicutes,PAC001057_o,PAC001057_f,PAC001057_g,0.0208
Sample N6,Sample N6,Bacteria,Tenericutes,Mollicutes,PAC001057_o,PAC001057_f,PAC001108_g,0.9843000000000001
Sample N6,Sample N6,Bacteria,Tenericutes,Mollicutes,PAC001057_o,PAC001057_f,PAC001109_g,0.3593
Sample N6,Sample N6,Bacteria,Verrucomicrobia,Kiritimatiellae,PAC002693_o,PAC002850_f,PAC002850_g,4.1396999999999995
Sample N6,Sample N6,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,33.6004
